Entry	Reviewed	Cofactor	EC number	Organism (ID)
O02298	reviewed	COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000305}; Note=Binds 1 or 2 heme groups per heterodimer. {ECO:0000305};	4.6.1.2	6239
O02740	reviewed		4.6.1.2	9913
O04157	reviewed			3702
O05877	reviewed		2.7.4.-	83332
O08697	reviewed			10116
O08810	reviewed			10090
O13010	reviewed		2.7.1.149	9823
O13055	reviewed			8090
O13928	reviewed			284812
O14772	reviewed		2.7.7.30	9606
O14807	reviewed		3.6.5.2	9606
O14966	reviewed			9606
O15743	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250}; Note=Binds 2 magnesium or manganese ions per subunit. {ECO:0000250};	3.1.3.16	44689
O18334	reviewed			7227
O18412	reviewed		3.6.5.-	7227
O19069	reviewed		6.2.1.4; 6.2.1.5	9823
O19179	reviewed		4.6.1.2	9615
O22287	reviewed		2.7.7.13	3702
O22347	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};	3.6.5.-	29674
O23680	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:17337454, ECO:0000269|PubMed:18400179, ECO:0000269|PubMed:18541539}; Note=Binds 1 Mg(2+) ion by subunit. {ECO:0000269|PubMed:17337454, ECO:0000269|PubMed:18400179, ECO:0000269|PubMed:18541539};	3.6.5.-	3702
O31611	reviewed		2.7.6.5	224308
O34530	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000255|HAMAP-Rule:MF_01820, ECO:0000269|PubMed:15223319}; Note=Binds 1 zinc ion per subunit. {ECO:0000255|HAMAP-Rule:MF_01820, ECO:0000269|PubMed:15223319};	3.6.1.-	224308
O35303	reviewed		3.6.5.5	10116
O35509	reviewed		3.6.5.2	10116
O35626	reviewed			10090
O35963	reviewed			10090
O36023	reviewed			284812
O36635	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P28887}; Note=For RNA-directed RNA polymerase activity. Mn(2+) can stimulate de novo initiation but it is inefficient at supporting elongation of de novo initiated RNA. {ECO:0000250|UniProtKB:P28887};	2.1.1.375; 2.7.7.48; 2.7.7.88; 3.6.1.-	79692
O42825	reviewed			237561
O43236	reviewed			9606
O44411	reviewed			6239
O50274	reviewed		2.7.1.25; 2.7.7.4	208964
O54408	reviewed		2.7.6.5	224308
O54865	reviewed	COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250|UniProtKB:P16068}; Note=Binds 1 or 2 heme groups per heterodimer. Heme is required for responding to nitric oxide, but not for catalytic activity. {ECO:0000250|UniProtKB:P16068};	4.6.1.2	10090
O55131	reviewed			10090
O55236	reviewed		2.7.7.50; 3.6.1.74	10090
O55528	reviewed		2.1.1.375; 2.7.7.48; 2.7.7.88; 3.6.1.-	302272
O57209	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P04298};	2.1.1.56; 2.7.7.50; 3.1.3.33	126794
O59245	reviewed	COFACTOR: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:22320833, ECO:0000269|PubMed:22949672, ECO:0000269|PubMed:23560983}; Note=Binds 2 manganese ions per subunit. {ECO:0000269|PubMed:22949672, ECO:0000269|PubMed:23560983};	3.1.-.-; 6.5.1.8	70601
O60165	reviewed			284812
O60313	reviewed		3.6.5.5	9606
O60841	reviewed	COFACTOR: Name=a monovalent cation; Xref=ChEBI:CHEBI:60242; Evidence={ECO:0000250|UniProtKB:G0S8G9}; Note=Binds 1 monovalent cation per monomer in the active site. Structural cofactor that stabilizes the GTP-bound 'on' state. May also act as a transition state stabilizer of the hydrolysis reaction. {ECO:0000250|UniProtKB:G0S8G9};	3.6.5.3	9606
O60942	reviewed		2.7.7.50; 3.6.1.74	9606
O65583	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Note=Binds 1 Mg(2+) ion per subunit. The magnesium is bound as Mg-PRPP. {ECO:0000250};	2.4.2.9; 2.7.1.48	3702
O70172	reviewed		2.7.1.149	10090
O70418	reviewed		2.3.2.27	10116
O70443	reviewed			10090
O74718	reviewed			284812
O74791	reviewed			284812
O75343	reviewed	COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250}; Note=Binds 1 or 2 heme groups per heterodimer. {ECO:0000250};	4.6.1.2	9606
O75616	reviewed			9606
O75695	reviewed			9606
O76584	reviewed			6239
O80462	reviewed	COFACTOR: Name=Ca(2+); Xref=ChEBI:CHEBI:29108; Evidence={ECO:0000269|PubMed:22232549};		3702
O80501	reviewed			3702
O80842	reviewed			3702
O81283	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Note=Binds 1 Mg(2+) ion by subunit. {ECO:0000250};	3.6.5.-	3702
O82480	reviewed			3702
O82481	reviewed			3702
O82533	reviewed			3702
O88370	reviewed		2.7.1.149	10116
O88377	reviewed		2.7.1.149	10116
O88767	reviewed	COFACTOR: Note=Deglycase activity does not require glutathione as a cofactor, however, glycated glutathione constitutes a PARK7 substrate. {ECO:0000250|UniProtKB:Q99497};	3.1.2.-; 3.5.1.-; 3.5.1.124	10116
O88848	reviewed			10090
O90368	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P03317}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250|UniProtKB:P03317}; Note=For nsP4 adenylyltransferase activity; Mn(2+) supports catalysis at 60% of the levels observed with Mg(2+). {ECO:0000250|UniProtKB:P03317}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Note=For nsP4 RNA-directed RNA polymerase activity. {ECO:0000250|UniProtKB:P03317}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P27282}; Note=For nsP1 guanylylation. {ECO:0000250|UniProtKB:P27282}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Note=For nsP2 RNA triphosphatase activity. {ECO:0000250|UniProtKB:Q8JUX6}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Note=For nsP2 NTPase activity. {ECO:0000250|UniProtKB:Q8JUX6};	2.1.1.-; 2.7.7.-; 2.7.7.19; 2.7.7.48; 3.1.3.33; 3.1.3.84; 3.4.22.-; 3.6.1.15; 3.6.4.13	374989
O90370	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P03317}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250|UniProtKB:P03317}; Note=For nsP4 adenylyltransferase activity; Mn(2+) supports catalysis at 60% of the levels observed with Mg(2+). {ECO:0000250|UniProtKB:P03317}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Note=For nsP4 RNA-directed RNA polymerase activity. {ECO:0000250|UniProtKB:P03317}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P27282}; Note=For nsP1 guanylylation. {ECO:0000250|UniProtKB:P27282}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Note=For nsP2 RNA triphosphatase activity. {ECO:0000250|UniProtKB:Q8JUX6}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Note=For nsP2 NTPase activity. {ECO:0000250|UniProtKB:Q8JUX6};	2.1.1.-; 2.7.7.-; 2.7.7.19; 2.7.7.48; 3.1.3.33; 3.1.3.84; 3.4.22.-; 3.6.1.15; 3.6.4.13	79899
O91940	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P28887}; Note=For RNA-directed RNA polymerase activity. Mn(2+) can stimulate de novo initiation but it is inefficient at supporting elongation of de novo initiated RNA. {ECO:0000250|UniProtKB:P28887};	2.1.1.375; 2.7.7.48; 2.7.7.88; 3.6.1.-	11247
O93248	reviewed		3.6.5.5	8020
O93827	reviewed		2.7.7.13	237561
O94316	reviewed			284812
O94363	reviewed			284812
O94655	reviewed			284812
O94811	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:21316364};	3.6.5.-	9606
O94844	reviewed			9606
O95057	reviewed			9606
O95140	reviewed		3.6.5.-	9606
O95716	reviewed			9606
O95837	reviewed			9606
O96390	reviewed			44689
O97572	reviewed		3.6.5.2	9986
P00366	reviewed		1.4.1.3	9913
P00367	reviewed		1.4.1.3	9606
P00568	reviewed		2.7.4.10; 2.7.4.3; 2.7.4.6	9606
P00569	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P05081};	2.7.4.10; 2.7.4.3; 2.7.4.6	9986
P00570	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P05081};	2.7.4.10; 2.7.4.3; 2.7.4.6	9913
P00571	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000305|PubMed:2551297, ECO:0000305|PubMed:2551298};	2.7.4.10; 2.7.4.3; 2.7.4.6	9823
P01111	reviewed		3.6.5.2	9606
P01112	reviewed		3.6.5.2	9606
P01116	reviewed		3.6.5.2	9606
P01119	reviewed		3.6.5.2	559292
P01120	reviewed		3.6.5.2	559292
P01123	reviewed			559292
P02550	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};	3.6.5.-	9823
P02552	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};	3.6.5.-	9031
P02554	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};		9823
P02557	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};		559292
P02992	reviewed			559292
P02994	reviewed			559292
P03317	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:17005674}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:17005674}; Note=For nsP4 adenylyltransferase activity; Mn(2+) supports catalysis at 60% of the levels observed with Mg(2+). {ECO:0000269|PubMed:17005674}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:19036396}; Note=For nsP4 RNA-directed RNA polymerase activity. {ECO:0000269|PubMed:19036396}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P27282}; Note=For nsP1 guanylylation. {ECO:0000250|UniProtKB:P27282}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Note=For nsP2 RNA triphosphatase activity. {ECO:0000250|UniProtKB:Q8JUX6}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Note=For nsP2 NTPase activity. {ECO:0000250|UniProtKB:Q8JUX6};	2.1.1.-; 2.7.7.-; 2.7.7.19; 2.7.7.48; 3.1.3.33; 3.1.3.84; 3.4.22.-; 3.6.1.15; 3.6.4.13	11034
P03523	reviewed		2.1.1.375; 2.7.7.48; 2.7.7.88; 3.6.1.-	11285
P03967	reviewed		3.6.5.2	44689
P04105	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};	3.6.5.-	5791
P04298	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000305|PubMed:2164022, ECO:0000305|PubMed:24607143};	2.1.1.56; 2.7.7.50; 3.1.3.33	10254
P04350	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};		9606
P04388	reviewed		3.6.5.2	7227
P04688	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};	3.6.5.-	284812
P04689	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};	3.6.5.-	284812
P04695	reviewed			9913
P04696	reviewed			9913
P04896	reviewed			9913
P04897	reviewed			10116
P04899	reviewed			9606
P05081	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000305|PubMed:1958702};	2.7.4.10; 2.7.4.3; 2.7.4.6	9031
P05153	reviewed	COFACTOR: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250|UniProtKB:P35558}; Note=Binds 1 Mn(2+) ion per subunit. {ECO:0000250|UniProtKB:P35558};	2.7.11.-; 4.1.1.32	9031
P05197	reviewed			10116
P05213	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};	3.6.5.-	10090
P05214	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};	3.6.5.-	10090
P05219	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};		284812
P05453	reviewed			559292
P05712	reviewed		3.6.5.2	10116
P05714	reviewed		3.6.5.2	10116
P06447	reviewed		2.1.1.375; 2.7.7.48; 2.7.7.88; 3.6.1.-	11198
P06603	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};	3.6.5.-	7227
P06604	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};	3.6.5.-	7227
P06605	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};	3.6.5.-	7227
P06606	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};	3.6.5.-	7227
P06616	reviewed			83333
P06780	reviewed		3.6.5.2	559292
P06781	reviewed		3.6.5.2	559292
P06802	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000269|PubMed:23027977, ECO:0000269|PubMed:23041369, ECO:0000269|PubMed:30356045}; Note=Binds 2 Zn(2+) ions per subunit. {ECO:0000269|PubMed:23027977, ECO:0000269|PubMed:23041369, ECO:0000269|PubMed:30356045};	3.1.4.1; 3.6.1.9	10090
P06829	reviewed		2.1.1.375; 2.7.7.48; 2.7.7.88; 3.6.1.-	11194
P07102	reviewed		3.1.3.-; 3.6.1.-	83333
P07379	reviewed	COFACTOR: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:17685635, ECO:0000269|PubMed:18197707, ECO:0000269|PubMed:18772387, ECO:0000269|PubMed:20476774, ECO:0000269|PubMed:23127136, ECO:0000269|PubMed:24863970, ECO:0000269|PubMed:26322521, ECO:0000269|PubMed:26709450, ECO:0000269|PubMed:28345895}; Note=Binds 1 Mn(2+) ion per subunit. {ECO:0000269|PubMed:17685635, ECO:0000269|PubMed:18197707, ECO:0000269|PubMed:18772387, ECO:0000269|PubMed:20476774, ECO:0000269|PubMed:23127136, ECO:0000269|PubMed:24863970, ECO:0000269|PubMed:26322521, ECO:0000269|PubMed:26709450, ECO:0000269|PubMed:28345895};	2.7.11.-; 4.1.1.32	10116
P07437	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P68363};		9606
P07560	reviewed			559292
P07874	reviewed	COFACTOR: Name=Co(2+); Xref=ChEBI:CHEBI:48828; Evidence={ECO:0000269|PubMed:1846611}; Note=Co(2+) (for PMI). {ECO:0000269|PubMed:1846611};	2.7.7.13; 5.3.1.8	208964
P08134	reviewed			9606
P08240	reviewed			9606
