Entry	Reviewed	Cofactor	EC number	Organism (ID)
G3FEX6	reviewed	COFACTOR: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Note=For RNA-directed RNA polymerase NS5 activity; Mn(2+) is more effective than Mg(2+). {ECO:0000250|UniProtKB:P27395};	2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	2555554
G3V6U9	reviewed		2.1.1.85	10116
I3PLQ6	reviewed		2.1.1.117; 2.1.1.352	3469
I3V6A7	reviewed		2.1.1.-; 2.1.1.117; 2.1.1.89	3469
J7I4B7	reviewed		2.1.1.294; 2.7.1.181	562
J9VI03	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:32437639};	3.6.4.-	235443
K0I210	reviewed		2.1.1.-	39350
K0I7Q2	reviewed		2.1.1.-	39350
K0I977	reviewed		2.1.1.-; 2.1.1.232	39350
K0ICR0	reviewed		2.1.1.-	39350
K0II72	reviewed		2.1.1.-; 2.1.1.232	39350
K5B7F3	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:30606802};	2.1.1.365	1122247
K9N7C7	reviewed	COFACTOR: [Uridylate-specific endoribonuclease nsp15]: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250|UniProtKB:P0C6X7}; Note=Likely affects Nsp15 binding to RNA. {ECO:0000250|UniProtKB:P0C6X7}; COFACTOR: [RNA-directed RNA polymerase nsp12]: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P0DTD1};	2.1.1.56; 2.1.1.57; 2.7.7.48; 2.7.7.50; 3.1.13.-; 3.4.19.12; 3.4.22.-; 3.6.4.12; 3.6.4.13; 4.6.1.-	1263720
O02655	reviewed	COFACTOR: Name=pyruvate; Xref=ChEBI:CHEBI:15361; Evidence={ECO:0000250|UniProtKB:P17707}; Note=Binds 1 pyruvoyl group covalently per subunit. {ECO:0000250|UniProtKB:P17707};	4.1.1.50	6239
O04385	reviewed		2.1.1.146	36903
O07431	reviewed	COFACTOR: Name=a divalent metal cation; Xref=ChEBI:CHEBI:60240; Evidence={ECO:0000269|PubMed:31147608};	2.1.1.6	83332
O08550	reviewed		2.1.1.364	10090
O13648	reviewed		2.1.1.-	284812
O13935	reviewed		2.1.1.-	284812
O14023	reviewed	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250|UniProtKB:Q02908}; Note=Binds 1 [4Fe-4S] cluster. The cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine. {ECO:0000250|UniProtKB:Q02908};	2.3.1.-	284812
O14026	reviewed		2.1.1.359	284812
O14214	reviewed		2.1.1.221	284812
O14686	reviewed		2.1.1.364	9606
O14717	reviewed		2.1.1.204	9606
O14744	reviewed		2.1.1.320	9606
O15047	reviewed		2.1.1.364	9606
O17514	reviewed		2.1.1.356	6239
O17679	reviewed		2.1.1.-; 2.1.1.366	6239
O22268	reviewed		2.1.1.-	3702
O23372	reviewed		2.1.1.354	3702
O24144	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Note=Binds 1 Mg(2+) ion per subunit.;	2.1.1.104	4097
O31677	reviewed	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000269|PubMed:23194065, ECO:0000305|PubMed:19354300}; Note=Binds 1 [4Fe-4S] cluster. The cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine. {ECO:0000269|PubMed:23194065, ECO:0000305|PubMed:19354300}; COFACTOR: Name=S-adenosyl-L-methionine; Xref=ChEBI:CHEBI:59789; Evidence={ECO:0000255|HAMAP-Rule:MF_00917, ECO:0000269|PubMed:19354300, ECO:0000269|PubMed:23194065}; Note=Binds 1 S-adenosyl-L-methionine per subunit. {ECO:0000255|HAMAP-Rule:MF_00917, ECO:0000269|PubMed:19354300, ECO:0000269|PubMed:23194065}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_00917, ECO:0000269|PubMed:23194065};	4.3.99.3	224308
O32129	reviewed	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000255|HAMAP-Rule:MF_00206}; Note=Binds 2 [4Fe-4S] clusters per subunit. One cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine. {ECO:0000255|HAMAP-Rule:MF_00206};	2.8.1.8	224308
O34162	reviewed	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250|UniProtKB:P32131}; Note=Binds 1 [4Fe-4S] cluster. The cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine. {ECO:0000250|UniProtKB:P32131};	1.3.98.3	381666
O34680	reviewed		2.1.1.37	224308
O34939	reviewed		2.1.1.37	224308
O35969	reviewed		2.1.1.2	10090
O36635	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P28887}; Note=For RNA-directed RNA polymerase activity. Mn(2+) can stimulate de novo initiation but it is inefficient at supporting elongation of de novo initiated RNA. {ECO:0000250|UniProtKB:P28887};	2.1.1.375; 2.7.7.48; 2.7.7.88; 3.6.1.-	79692
O42832	reviewed		2.1.1.-	284812
O43148	reviewed		2.1.1.56	9606
O43159	reviewed		2.1.1.-	9606
O43463	reviewed		2.1.1.355	9606
O43709	reviewed		2.1.1.-	9606
O43766	reviewed	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000255|HAMAP-Rule:MF_03123}; Note=Binds 2 [4Fe-4S] clusters per subunit. One cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine. {ECO:0000255|HAMAP-Rule:MF_03123};	2.8.1.8	9606
O44757	reviewed		2.1.1.-	6239
O49139	reviewed		2.1.1.37	3702
O49354	reviewed		2.1.1.114; 2.1.1.64	3702
O49499	reviewed	COFACTOR: Name=a divalent metal cation; Xref=ChEBI:CHEBI:60240; Evidence={ECO:0000250|UniProtKB:Q40313}; Note=Binds 1 divalent metal cation per subunit. {ECO:0000250|UniProtKB:Q40313};	2.1.1.104	3702
O54864	reviewed		2.1.1.355	10090
O55055	reviewed		2.1.1.204	10090
O55060	reviewed		2.1.1.67	10090
O55239	reviewed		2.1.1.1	10090
O55528	reviewed		2.1.1.375; 2.7.7.48; 2.7.7.88; 3.6.1.-	302272
O57209	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P04298};	2.1.1.56; 2.7.7.50; 3.1.3.33	126794
O57712	reviewed		2.1.1.-	70601
O58523	reviewed		2.5.1.114	70601
O58832	reviewed	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000269|PubMed:20559380}; Note=Binds 1 [4Fe-4S] cluster per subunit. The cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine. {ECO:0000269|PubMed:20559380};	2.5.1.108	70601
O60016	reviewed		2.1.1.355; 2.1.1.366; 2.1.1.367	284812
O60294	reviewed		2.1.1.290; 2.3.1.231	9606
O60678	reviewed		2.1.1.319	9606
O60725	reviewed		2.1.1.100	9606
O64827	reviewed		2.1.1.-	3702
O65312	reviewed		2.1.1.356	3702
O70467	reviewed		2.1.1.319	10116
O70600	reviewed	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250|UniProtKB:Q8WXG1}; Note=Binds 1 [4Fe-4S] cluster. The cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine. {ECO:0000250|UniProtKB:Q8WXG1};	4.2.-.-	10116
O74421	reviewed		2.1.1.114; 2.1.1.64	284812
O74880	reviewed		2.1.1.56	284812
O80562	reviewed		2.1.1.9	3702
O82175	reviewed		2.1.1.-; 2.1.1.367	3702
O82392	reviewed	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000269|PubMed:18048325, ECO:0000305|PubMed:24161603}; Note=Binds 1 [4Fe-4S] cluster per subunit. The cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine. {ECO:0000269|PubMed:18048325};	4.1.99.17	3702
O82486	reviewed		2.1.1.348	3702
O88491	reviewed		2.1.1.357	10090
O88508	reviewed		2.1.1.-; 2.1.1.37	10090
O88509	reviewed		2.1.1.37	10090
O88587	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P22734}; Note=Binds 1 Mg(2+) ion per subunit. {ECO:0000250|UniProtKB:P22734};	2.1.1.6	10090
O88974	reviewed		2.1.1.366	10090
O90368	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P03317}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250|UniProtKB:P03317}; Note=For nsP4 adenylyltransferase activity; Mn(2+) supports catalysis at 60% of the levels observed with Mg(2+). {ECO:0000250|UniProtKB:P03317}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Note=For nsP4 RNA-directed RNA polymerase activity. {ECO:0000250|UniProtKB:P03317}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P27282}; Note=For nsP1 guanylylation. {ECO:0000250|UniProtKB:P27282}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Note=For nsP2 RNA triphosphatase activity. {ECO:0000250|UniProtKB:Q8JUX6}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Note=For nsP2 NTPase activity. {ECO:0000250|UniProtKB:Q8JUX6};	2.1.1.-; 2.7.7.-; 2.7.7.19; 2.7.7.48; 3.1.3.33; 3.1.3.84; 3.4.22.-; 3.6.1.15; 3.6.4.13	374989
O90370	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P03317}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250|UniProtKB:P03317}; Note=For nsP4 adenylyltransferase activity; Mn(2+) supports catalysis at 60% of the levels observed with Mg(2+). {ECO:0000250|UniProtKB:P03317}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Note=For nsP4 RNA-directed RNA polymerase activity. {ECO:0000250|UniProtKB:P03317}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P27282}; Note=For nsP1 guanylylation. {ECO:0000250|UniProtKB:P27282}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Note=For nsP2 RNA triphosphatase activity. {ECO:0000250|UniProtKB:Q8JUX6}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Note=For nsP2 NTPase activity. {ECO:0000250|UniProtKB:Q8JUX6};	2.1.1.-; 2.7.7.-; 2.7.7.19; 2.7.7.48; 3.1.3.33; 3.1.3.84; 3.4.22.-; 3.6.1.15; 3.6.4.13	79899
O91940	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P28887}; Note=For RNA-directed RNA polymerase activity. Mn(2+) can stimulate de novo initiation but it is inefficient at supporting elongation of de novo initiated RNA. {ECO:0000250|UniProtKB:P28887};	2.1.1.375; 2.7.7.48; 2.7.7.88; 3.6.1.-	11247
O94632	reviewed	COFACTOR: Name=Fe(2+); Xref=ChEBI:CHEBI:29033; Evidence={ECO:0000250|UniProtKB:Q7RX33}; Note=Binds 1 Fe(2+) ion per monomer. {ECO:0000250|UniProtKB:Q7RX33};	1.21.3.10; 2.1.1.44	284812
O95050	reviewed		2.1.1.49; 2.1.1.96	9606
O95568	reviewed		2.1.1.85	9606
O95671	reviewed	COFACTOR: Name=a divalent metal cation; Xref=ChEBI:CHEBI:60240; Evidence={ECO:0000269|PubMed:24210219}; Note=Pyrophosphatase activity requires a divalent metal cation. {ECO:0000269|PubMed:24210219};	2.1.1.-; 3.6.1.9	9606
O96028	reviewed		2.1.1.357	9606
P03314	reviewed		2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	11090
P03317	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:17005674}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:17005674}; Note=For nsP4 adenylyltransferase activity; Mn(2+) supports catalysis at 60% of the levels observed with Mg(2+). {ECO:0000269|PubMed:17005674}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:19036396}; Note=For nsP4 RNA-directed RNA polymerase activity. {ECO:0000269|PubMed:19036396}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P27282}; Note=For nsP1 guanylylation. {ECO:0000250|UniProtKB:P27282}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Note=For nsP2 RNA triphosphatase activity. {ECO:0000250|UniProtKB:Q8JUX6}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Note=For nsP2 NTPase activity. {ECO:0000250|UniProtKB:Q8JUX6};	2.1.1.-; 2.7.7.-; 2.7.7.19; 2.7.7.48; 3.1.3.33; 3.1.3.84; 3.4.22.-; 3.6.1.15; 3.6.4.13	11034
P03523	reviewed		2.1.1.375; 2.7.7.48; 2.7.7.88; 3.6.1.-	11285
P04298	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000305|PubMed:2164022, ECO:0000305|PubMed:24607143};	2.1.1.56; 2.7.7.50; 3.1.3.33	10254
P05374	reviewed		2.1.1.17	559292
P05375	reviewed		2.1.1.17; 2.1.1.71	559292
P05769	reviewed		2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	301478
P06447	reviewed		2.1.1.375; 2.7.7.48; 2.7.7.88; 3.6.1.-	11198
P06829	reviewed		2.1.1.375; 2.7.7.48; 2.7.7.88; 3.6.1.-	11194
P06935	reviewed		2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	11082
P06992	reviewed		2.1.1.182	83333
P07564	reviewed		2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	11064
P07617	reviewed		2.1.1.57	10254
P07720	reviewed		2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	11087
P08411	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P03317}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250|UniProtKB:P03317}; Note=For nsP4 adenylyltransferase activity; Mn(2+) supports catalysis at 60% of the levels observed with Mg(2+). {ECO:0000250|UniProtKB:P03317}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P03317}; Note=For nsP4 RNA-directed RNA polymerase activity. {ECO:0000250|UniProtKB:P03317}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250|UniProtKB:P27282}; Note=For nsP1 guanylylation. {ECO:0000250|UniProtKB:P27282}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Note=For nsP2 RNA triphosphatase activity. {ECO:0000250|UniProtKB:Q8JUX6}; COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Note=For nsP2 NTPase activity. {ECO:0000250|UniProtKB:Q8JUX6};	2.1.1.-; 2.7.7.-; 2.7.7.19; 2.7.7.48; 3.1.3.33; 3.1.3.84; 3.4.22.-; 3.6.1.15; 3.6.4.13	11033
P09732	reviewed		2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	11081
P09866	reviewed		2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	408871
P0A6U5	reviewed		2.1.1.170	83333
P0A7F6	reviewed	COFACTOR: Name=pyruvate; Xref=ChEBI:CHEBI:15361; Evidence={ECO:0000269|PubMed:3316212, ECO:0000269|PubMed:3546296, ECO:0000269|PubMed:6749853}; Note=Binds 1 pyruvoyl group covalently per subunit. {ECO:0000269|PubMed:3316212, ECO:0000269|PubMed:3546296, ECO:0000269|PubMed:6749853};	4.1.1.50	83333
P0A7F9	reviewed		2.4.99.17	83333
P0A817	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_00086, ECO:0000269|PubMed:10551856, ECO:0000269|PubMed:14967023, ECO:0000269|PubMed:6251075, ECO:0000269|PubMed:8550549, ECO:0000269|PubMed:8611562}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:6251075}; Name=Co(2+); Xref=ChEBI:CHEBI:48828; Evidence={ECO:0000269|PubMed:6251075}; Note=Binds 2 divalent ions per subunit. The ions interact primarily with the substrate. {ECO:0000269|PubMed:14967023, ECO:0000269|PubMed:8550549, ECO:0000269|PubMed:8611562, ECO:0000305|PubMed:10551856, ECO:0007744|PDB:1P7L, ECO:0007744|PDB:1RG9}; COFACTOR: Name=K(+); Xref=ChEBI:CHEBI:29103; Evidence={ECO:0000255|HAMAP-Rule:MF_00086, ECO:0000269|PubMed:14967023, ECO:0000269|PubMed:6251075, ECO:0000269|PubMed:7629147, ECO:0000269|PubMed:8550549, ECO:0000269|PubMed:8611562}; Note=Binds 1 potassium ion per subunit. The potassium ion interacts primarily with the substrate. {ECO:0000269|PubMed:14967023, ECO:0000269|PubMed:7629147, ECO:0000269|PubMed:8550549, ECO:0000269|PubMed:8611562, ECO:0007744|PDB:1P7L, ECO:0007744|PDB:1RG9};	2.5.1.6	83333
P0A873	reviewed		2.1.1.228	83333
P0A887	reviewed		2.1.1.163; 2.1.1.201	83333
P0A8I5	reviewed		2.1.1.33	83333
P0A8I8	reviewed		2.1.1.177	83333
P0A8T1	reviewed		2.1.1.-	83333
P0A9H7	reviewed		2.1.1.79	83333
P0A9N4	reviewed	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000269|PubMed:18852451}; Note=Binds 1 [4Fe-4S] cluster. The cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine. {ECO:0000269|PubMed:18852451};	1.97.1.4	83333
P0A9N8	reviewed	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000269|PubMed:10821845, ECO:0000269|PubMed:7852304, ECO:0000269|PubMed:8621608, ECO:0000269|PubMed:9305874}; Note=Binds 1 [4Fe-4S] cluster. The cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine. {ECO:0000250|UniProtKB:P0A9N4};	1.97.1.-	83333
P0ACC1	reviewed		2.1.1.297	83333
P0AE01	reviewed		2.1.1.200	83333
P0AEA8	reviewed		1.3.1.76; 2.1.1.107; 4.99.1.4	83333
P0AEE8	reviewed		2.1.1.72	83333
P0AEI1	reviewed	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000305|PubMed:11882645}; Note=Binds 2 [4Fe-4S] clusters. One cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine. {ECO:0000305|PubMed:11882645};	2.8.4.3	83333
P0AEI4	reviewed	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000269|PubMed:19736993}; Note=Binds 2 [4Fe-4S] clusters. One cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine. {ECO:0000269|PubMed:19736993};	2.8.4.4	83333
