Entry	Reviewed	Cofactor	EC number	Organism (ID)
B4F6I3	reviewed	COFACTOR: Name=6-hydroxy-FAD; Xref=ChEBI:CHEBI:60470; Evidence={ECO:0000250|UniProtKB:Q9BRQ8}; Note=Binds 6-hydroxy-FAD non-covalently. {ECO:0000250|UniProtKB:Q9BRQ8};	1.6.5.-	8364
B5DFN2	reviewed	COFACTOR: Name=NAD(+); Xref=ChEBI:CHEBI:57540; Evidence={ECO:0000250|UniProtKB:O43865}; Note=Binds 1 NAD(+) per subunit. {ECO:0000250|UniProtKB:O43865};		10116
B5XRB0	reviewed	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000269|PubMed:24361839}; Note=Binds 1 FAD per subunit. {ECO:0000269|PubMed:24361839}; COFACTOR: Name=FMN; Xref=ChEBI:CHEBI:58210; Evidence={ECO:0000269|PubMed:24361839}; Note=Binds 2 FMN prosthetic groups per subunit. 1 FMN is bound covalently, while the other is non-covalent. {ECO:0000269|PubMed:24361839};	1.3.1.6	507522
B6ECN9	reviewed		1.2.1.-; 1.2.1.19; 1.2.1.47; 1.2.1.54	4081
B6HAA7	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	500485
B6JVD0	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	402676
B6QCA7	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	441960
B6QWH9	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	441960
B6ZK77	reviewed		3.2.2.6	7955
B7G620	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:32824636}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:32824636}; Note=Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250|UniProtKB:A0A096P8D3};	1.1.1.41	556484
B7VGL4	reviewed		1.1.1.35; 4.2.1.17; 5.1.2.3; 5.3.3.8	575788
B8M0U4	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	441959
B8N4Q9	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	332952
B9WFG1	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	573826
C0KTJ6	reviewed	COFACTOR: Name=a divalent metal cation; Xref=ChEBI:CHEBI:60240; Evidence={ECO:0000269|PubMed:7551050}; Note=Can use Mg(2+), Mn(2+), Ni(2+) or Co(2+). {ECO:0000269|PubMed:7551050};	1.1.1.406	1063
C0NL63	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	447093
C0P9J6	reviewed		1.2.1.-; 1.2.1.19; 1.2.1.47; 1.2.1.54; 1.2.1.8	4577
C0RGW8	reviewed		3.2.2.6	546272
C0S433	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	482561
C1FYJ9	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	502780
C1H8L1	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	502779
C4JYG6	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	336963
C4R4R8	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	644223
C4Y9D5	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	306902
C5DN02	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	559295
C5DVG6	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	559307
C5FQ73	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	554155
C5G8R4	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	559297
C5I9X1	reviewed		1.2.1.-	35608
C5JKE6	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	559298
C5M1X2	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	294747
C5PA86	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	222929
C6HCG7	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	544712
C6KEM4	reviewed		1.2.1.-; 1.2.1.19; 1.2.1.47; 1.2.1.54	4577
C7A2A0	reviewed		1.2.1.28; 1.2.1.3; 1.2.1.39	4151
C7GIN5	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	574961
C7YZ74	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	660122
C8Z543	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	643680
C9SE96	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	526221
D0VWY5	reviewed	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000269|PubMed:11399772, ECO:0000269|PubMed:17977556}; Note=Binds 1 FAD per subunit. {ECO:0000269|PubMed:11399772, ECO:0000269|PubMed:17977556};	1.8.1.16	1048
D1ZA70	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 2 Zn(2+) ions per subunit.;	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4	771870
D3ZUA0	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:24733394};	1.5.1.15; 1.5.1.5; 3.5.4.9	10116
D3ZUM2	reviewed		3.2.2.-; 3.2.2.6	10116
D4A1J4	reviewed		1.1.1.-; 1.1.1.104; 1.1.1.30	10116
D4GP33	reviewed		1.1.1.376	309800
D4GY98	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_01588, ECO:0000269|PubMed:17132163}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000255|HAMAP-Rule:MF_01588, ECO:0000269|PubMed:17132163};	6.5.1.2	309800
D5JWB3	reviewed		1.3.1.107	3467
D7URM0	reviewed		1.1.1.108	306
E0SRA9	reviewed	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_00435, ECO:0000269|PubMed:25849365}; Note=Binds 2 magnesium ions per subunit. {ECO:0000255|HAMAP-Rule:MF_00435};	1.1.1.383	583356
E1BSI0	reviewed		2.4.2.-	9031
E2RDZ6	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000255|HAMAP-Rule:MF_03160}; Note=Binds 1 zinc ion per subunit. {ECO:0000255|HAMAP-Rule:MF_03160};	2.3.1.-	9615
E2RTZ4	reviewed	COFACTOR: Name=heme b; Xref=ChEBI:CHEBI:60344; Note=Binds 1 heme b group.; COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Note=Binds 1 FAD.;	1.14.12.17	184922
E3VWI2	reviewed		1.2.1.12	29301
E7FHC4	reviewed	COFACTOR: Name=Ni(2+); Xref=ChEBI:CHEBI:49786; Evidence={ECO:0000269|PubMed:10714990}; Note=Binds 1 nickel ion per subunit. {ECO:0000269|PubMed:10714990}; COFACTOR: Name=Fe cation; Xref=ChEBI:CHEBI:24875; Evidence={ECO:0000250};	1.12.1.5	186497
E7FHF8	reviewed	COFACTOR: Name=Ni(2+); Xref=ChEBI:CHEBI:49786; Evidence={ECO:0000269|PubMed:10714990}; Note=Binds 1 nickel ion per subunit. {ECO:0000269|PubMed:10714990}; COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000269|PubMed:10714990}; Note=Binds 2 [4Fe-4S] clusters. {ECO:0000269|PubMed:10714990}; COFACTOR: Name=[3Fe-4S] cluster; Xref=ChEBI:CHEBI:21137; Evidence={ECO:0000269|PubMed:10714990}; Note=Binds 1 [3Fe-4S] cluster. {ECO:0000269|PubMed:10714990};	1.12.1.5	186497
E9PU28	reviewed	COFACTOR: Name=K(+); Xref=ChEBI:CHEBI:29103; Evidence={ECO:0000255|HAMAP-Rule:MF_03156};	1.1.1.205	10116
E9PYK3	reviewed		2.4.2.-	10090
E9Q3E1	reviewed		1.2.1.3	10090
E9QYP0	reviewed	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000269|PubMed:20614882, ECO:0000269|PubMed:20650894, ECO:0000269|PubMed:22928747}; Note=Binds 1 FAD per subunit. {ECO:0000269|PubMed:20614882, ECO:0000269|PubMed:20650894, ECO:0000269|PubMed:22928747};	1.14.13.196	330879
F1C7I4	reviewed		1.1.1.37	6204
F1QLP1	reviewed			7955
F1QWA8	reviewed		3.2.2.-; 3.2.2.6	7955
F4HT77	reviewed		3.2.2.-; 3.2.2.6	3702
F4I902	reviewed		3.2.2.6	3702
F4J339	reviewed		3.2.2.6	3702
F4JLP5	reviewed	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000250}; Note=Binds 1 FAD per subunit. {ECO:0000250};	1.8.1.4	3702
F4KHI3	reviewed		3.2.2.6	3702
F7D4X9	reviewed		2.3.1.-	13616
F7EZ75	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000255|HAMAP-Rule:MF_03160}; Note=Binds 1 zinc ion per subunit. {ECO:0000255|HAMAP-Rule:MF_03160};	2.3.1.-	9544
F7FIH8	reviewed	COFACTOR: Name=K(+); Xref=ChEBI:CHEBI:29103; Evidence={ECO:0000255|HAMAP-Rule:MF_03159}; Note=Binds 1 potassium ion per subunit. {ECO:0000255|HAMAP-Rule:MF_03159};	5.1.99.6	13616
F8G0M4	reviewed	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000305|PubMed:21949128}; Note=Binds 1 FAD per subunit. {ECO:0000305|PubMed:21949128};	1.14.13.163	1042876
G3KIM8	reviewed	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000269|PubMed:12603323};	1.3.1.95	28446
G3XD23	reviewed		1.1.1.335	208964
G3XD94	reviewed	COFACTOR: Name=K(+); Xref=ChEBI:CHEBI:29103; Evidence={ECO:0000269|PubMed:15226302}; Name=NH4(+); Xref=ChEBI:CHEBI:28938; Evidence={ECO:0000269|PubMed:15226302}; Note=A monovalent cation. NH4(+) and K(+) are the most effective. {ECO:0000269|PubMed:15226302};	1.1.1.136	208964
G5DDC2	reviewed		1.2.1.-; 1.2.1.19; 1.2.1.47; 1.2.1.54; 1.2.1.8	4577
H1ZV38	reviewed	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000250|UniProtKB:P11766}; Note=Binds 2 Zn(2+) ions per subunit. {ECO:0000250|UniProtKB:P11766};	1.1.1.144; 1.1.1.347	75697
H9N289	reviewed	COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:190135; Evidence={ECO:0000255|PROSITE-ProRule:PRU00628, ECO:0000269|PubMed:20966097, ECO:0000269|PubMed:22328667}; Note=Binds 1 [2Fe-2S] cluster per subunit. {ECO:0000255|PROSITE-ProRule:PRU00628, ECO:0000269|PubMed:20966097, ECO:0000269|PubMed:22328667};	1.14.13.178	303
I1S489	reviewed		1.3.1.9; 2.3.1.38; 2.3.1.39; 2.3.1.86; 3.1.2.14; 4.2.1.59	229533
I3L5V6	reviewed		3.2.2.-; 3.2.2.6	9823
I6Y778	reviewed		1.1.1.212	83332
J3QMK6	reviewed		1.2.1.3	10090
J7SHB8	reviewed		1.1.1.110	471871
J8G6Z1	reviewed		3.2.2.5	1053222
K0J4Q8	reviewed		1.11.1.26	698758
K7WDL7	reviewed		1.3.1.122	4058
M2XHU6	reviewed		1.3.1.9; 2.3.1.38; 2.3.1.39; 2.3.1.86; 3.1.2.14; 4.2.1.59	675120
O00217	reviewed	COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000250|UniProtKB:Q56224}; Note=Binds 2 [4Fe-4S] cluster. {ECO:0000250|UniProtKB:Q56224};	7.1.1.2	9606
O02373	reviewed		1.1.1.22	7227
O02691	reviewed		1.1.1.159; 1.1.1.178; 1.1.1.239; 1.1.1.35; 1.1.1.53; 1.1.1.62	9913
O04130	reviewed		1.1.1.95	3702
O05442	reviewed		3.2.2.5	83332
O08651	reviewed		1.1.1.95	10116
O08699	reviewed		1.1.1.-; 1.1.1.141; 1.1.1.232	10116
O08749	reviewed	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692; Evidence={ECO:0000250|UniProtKB:P09622}; Note=Binds 1 FAD per subunit. {ECO:0000250|UniProtKB:P09622};	1.8.1.4	10090
O08756	reviewed		1.1.1.159; 1.1.1.178; 1.1.1.239; 1.1.1.35; 1.1.1.53; 1.1.1.62	10090
O13437	reviewed		1.17.1.9	5477
